#UE ROOT DGW SGW PGW RAN
36 20.78 73.81 161.76 0.01 29.07
38 25.55 87.91 187.93 0.01 32.14
40 19.99 74.29 160.28 0.27 25.49
38 20.61 74.44 160.35 0.16 29.56
40 13.5 46.5 99.23 0.19 18.77
30 19.62 68.15 149.42 0.39 19.33
50 21.9 77.7 162.98 0.01 35.02
40 20.16 77.7 165.58 0 30.55
42 18.05 60.78 129.12 0.16 26.73
38 23.22 82.15 176.59 0.12 26.53
