#UE Throughput Delay(ms)
36 618.311 3.088
38 740.253 3.718
40 613.777 3.229
38 615.033 3.453
40 371.082 3.273
30 584.721 3.149
50 619.348 5.016
40 660.17 3.553
42 488.348 3.752
38 691.388 3.389
