#UE ROOT DGW SGW PGW RAN
48 18.76 127.42 85.29 55.08 93.02
72 17.13 150.52 132.26 56.94 159.24
80 16.16 125.43 460.42 1.71 55.35
72 14.17 105.1 395.45 1.49 48.43
76 14.66 119.85 445.46 1.75 52.44
88 16.89 136.46 493.69 1.52 58.82
100 15.69 132.34 458.62 1.62 62.74
100 15.19 122.43 422.53 1.48 57.63
88 1.93 125.1 460.89 0.74 56.11
