#UE Throughput Delay(ms)
48 1028.3 1.27125
72 1418.63 1.203
80 1359.87 1.24825
72 1289.31 1.07975
76 1354.58 1.19325
88 1475.46 1.299
100 1344.97 1.3825
100 1214.57 1.4045
88 1405.05 1.18625
