#UE ROOT DGW SGW PGW RAN
6 41.4 37.53 150.78 10.36 6.22
12 64.83 93.62 420.87 10.84 13.84
18 77.03 134.55 603.23 11.38 22.83
24 86.76 174.85 786.82 12.12 32.18
30 94.87 215.5 968.65 12.52 44.72
36 97.68 237.32 1042.77 12.72 57.78
