#UE ROOT DGW SGW PGW RAN
1 33.95 0.47 8.14 0.18 0.16
2 37.41 0.88 8.25 0.2 1.09
1 25.14 0.5 10.15 0.28 0.13
1 14.63 0.47 3.97 0.45 0.01
