#UE Throughput Delay(ms)
16 905.112 1.08175
32 1106.92 1.05425
40 1324.02 1.1355
48 1334.12 1.222
48 1266.77 1.124
56 1216.58 1.2575
64 1101.72 1.31575
160 1069.36 2.72325
94 1023.76 2.2425
54 773.583 1.4725
60 1031.18 1.39675
64 1032.8 1.5065
52 903.188 1.34825
12 371.934 0.30575
