#UE ROOT DGW SGW PGW RAN
16 10.16 42.69 285.97 2.34 35.37
32 11.38 81.19 405.63 3.59 16.73
40 13.54 102.47 503 3.23 22.95
48 13.95 115.62 521.93 3.24 30.37
48 10.91 87.58 418.7 3.04 28.47
56 13.57 112.69 511.92 11.22 38.2
64 12.31 110.17 494.38 3.54 42.62
160 10.94 132.12 403.8 3.62 72.29
40 4.53 32.23 145.86 2.37 24.6
72 13.76 59.69 326.22 2.65 28.31
48 17.42 127.83 638.63 3.59 43.43
64 14.67 133.72 616.47 4.28 50.03
64 13.78 128.39 579.6 3.31 31.97
48 13.56 117.94 569.44 3.27 7.38
