#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 79.08 5460.00 1.21
32 0K 101.55 5460.00 0.24
40 0K 145.34 5467.80 0.01
48 0K 133.84 5460.00 0.01
48 0K 136.19 5460.00 0.01
56 0K 86.95 5460.00 0.01
64 0K 113.24 5460.00 0.01
160 0K 122.37 5460.00 0.04
40 0K 133.54 5460.00 0.02
72 0K 82.61 5241.44 0.08
48 0K 173.26 5080.00 0.01
64 0K 162.56 5080.00 0.01
64 0K 153.06 5080.00 0.01
48 0K 143.43 5080.00 0.15
