#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 4.88 5584.00 2.38
32 0K 4.30 5584.00 0.17
40 0K 5.98 5584.00 0.44
48 0K 6.62 5584.00 0.04
48 0K 5.87 5584.00 0.00
56 0K 10.15 5591.80 0.00
64 0K 11.62 5584.00 0.04
160 0K 14.57 5584.00 0.56
72 0K 5.80 5712.00 0.14
48 0K 6.75 5712.00 0.01
64 0K 13.34 5712.00 0.13
64 0K 12.71 5712.00 0.72
48 0K 7.09 5712.00 0.01
