#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 11.52 5484.00 0.12
32 0K 20.43 5484.00 0.02
40 0K 29.02 5484.00 0.01
48 0K 28.13 5484.00 0.22
48 0K 28.82 5491.80 0.01
56 0K 19.38 5484.00 0.09
64 0K 25.36 5484.00 0.02
160 0K 42.14 5484.00 0.82
40 0K 30.74 5484.00 0.01
72 0K 15.62 5492.00 0.14
48 0K 33.84 5492.00 0.11
64 0K 34.99 5492.00 0.02
64 0K 34.29 5492.00 0.11
48 0K 29.16 5492.00 0.14
