#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 66.41 5884.00 5.24
32 0K 113.41 5884.00 0.51
40 0K 121.72 5884.00 0.05
48 0K 138.72 5884.00 0.34
48 0K 86.49 5884.00 0.63
56 0K 127.29 5884.00 0.16
64 0K 154.18 5884.00 0.59
160 0K 120.82 5884.00 0.38
40 0K 2.63 5884.00 0.36
72 0K 123.48 5884.00 0.42
48 0K 158.26 5884.00 0.04
64 0K 139.30 5884.00 0.23
64 0K 132.38 5884.00 0.11
48 0K 168.16 5884.00 0.08
