#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
50 0K 8.10 4188.00 0.00
60 0K 0.01 4188.00 0.00
60 0K 8.38 4188.00 0.00
50 0K 8.97 4188.00 0.00
40 0K 8.26 4188.00 0.00
46 0K 8.32 4188.00 0.00
60 0K 0.00 4188.00 0.00
50 0K 0.00 4188.00 0.00
50 0K 7.92 4188.00 0.00
50 0K 0.09 4188.00 0.00
50 0K 0.15 4188.00 0.00
50 0K 4.49 4188.00 0.00
60 0K 9.72 4188.00 0.00
