#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
50 0K 105.83 5884.00 0.01
60 0K 81.89 5884.00 0.00
60 0K 109.96 5884.00 0.00
50 0K 132.25 5884.00 0.00
40 0K 104.94 5884.00 0.00
46 0K 92.57 5884.00 0.00
60 0K 130.56 5884.00 0.00
50 0K 121.55 5884.00 0.00
50 0K 119.90 5884.00 0.00
50 0K 115.95 5884.00 0.00
50 0K 101.01 5884.00 0.00
50 0K 109.42 5884.00 0.00
60 0K 134.31 5884.00 0.00
