#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
50 0K 136.06 4132.00 0.00
60 0K 116.08 4132.00 0.00
60 0K 131.93 4132.00 0.00
50 0K 165.31 4132.00 0.00
40 0K 140.48 4132.00 0.00
46 0K 140.46 4132.00 0.00
60 0K 143.89 4132.00 0.00
50 0K 169.73 4132.00 0.00
50 0K 140.75 4132.00 0.00
50 0K 162.96 4132.00 0.00
50 0K 172.88 4132.00 0.00
50 0K 152.20 4132.00 0.00
60 0K 189.00 4132.00 0.00
