#UE ROOT DGW SGW PGW RAN
3 6.67 48.9 249.9 1.2 10.32
40 13.57 83.6 346.65 1.45 22.38
60 13.64 94.72 370.63 1.42 39
68 16.27 114.07 438.12 1.64 47.23
72 11.33 83.89 313.21 1.41 38.67
80 12.56 96.51 368.63 1.4 44.59
