#UE ROOT DGW SGW PGW RAN
56 15.76 125.85 461.22 1.3 30.02
64 16.43 127.92 449.02 1.3 32.91
68 14.43 116.54 412.83 1.35 31.55
64 14.66 127.78 451.21 1.38 29.38
60 15.1 36.21 136 0.41 9.56
72 13.53 131.07 476.88 1.31 30.08
64 14.21 111.4 386.5 1.18 32.45
64 17.67 110.15 394.46 1.25 29.38
72 16.64 138.72 489.81 1.58 25.37
72 145.51 516.25 1.38 30.06 
