#UE Throughput Delay(ms) ServiceRequestDelay(us)
30 101.177 2.698 2017.51
40 150.254 11.616 11049.5
40 588.619 5.761 5597.9
30 108.079 5.745 4920.54
30 113.46 3.037 2574.86 65M
