#UE ROOT DGW SGW PGW RAN
50 7.85 127.23 217.45 0.86 33.15
40 7.36 116.48 184.02 0.78 21.03
46 14.41 0.07 0.26 0.01 0.09
46 11.43 87.06 183.34 0.63 20.39
46 116.14 187.29 0.92 22.87 
