#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
50 0K 0.86 5536.00 0.00
60 0K 1.09 5536.00 0.00
60 0K 0.81 5536.00 0.00
50 0K 1.02 5536.00 0.00
40 0K 0.95 5536.00 0.00
46 0K 0.89 5536.00 0.00
60 0K 0.99 5536.00 0.00
50 0K 1.16 5536.00 0.00
50 0K 0.90 5536.00 0.00
50 0K 1.20 5536.00 0.00
50 0K 1.18 5536.00 0.00
50 0K 1.01 5536.00 0.00
60 0K 1.11 5536.00 0.00
