#UE ROOT DGW SGW PGW RAN
20 16.44 25.49 52.94 1.26 6.01
15 15.04 33.84 47.55 1.4 5.83
25 10.82 26.56 38 1.16 8.49
20 21.05 60.85 81.52 2.47 8.93
