# Design			      throughput latency(ms)	
TurboEPC-Basic 	        	409.14  1.192	TurboEPC-Basic 
TurboEPC-Series:Hit-Sw1  		403     1.0	TurboEPC-Series-Hit(1st switch)
TurboEPC-Series:Hit-Sw2		346.8	1.4749	TurboEPC-Series-Hit(2nd switch)
TurboEPC-Parallel:Hit		414.93	1.1342	TurboEPC-Parallel-Hit
TurboEPC-FT			387	3.7349	TurboEPC-FT
TurboEPC-Series:Miss		321.83	9.9399	TurboEPC-Series-Miss
TurboEPC-Parallel:Miss		403.53	9.5145	TurboEPC-Parallel-Miss
Traditional-EPC 		402.093 9.2897 Traditional-EPC
