#UE ROOT DGW SGW PGW RAN
5 43.95 20.11 6.14 0.05 3.04
12 57.8 45.67 9.83 0.2 4.64
20 74.46 74.74 9.81 0.04 13.51
30 78.42 86.74 10.43 0.05 24.98
