#UE ROOT DGW SGW PGW RAN
4 18.12 3.32 35.23 0.42 0.53
6 22.43 5.49 36.81 0.26 0.46
10 29.58 8.42 61.9 0.57 2.41
15 38.84 12.8 84.27 0.44 4.51
