#UE ROOT DGW SGW PGW RAN
12 35.09 33.75 153.85 0.9 6.46
24 53.34 67.68 285.93 1.37 15.21
42 63.41 95.59 377.92 1.31 22.39
60 69.55 120.42 453.25 1.4 41.3
72 77.27 156.43 572.64 1.97 53.51
