#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 21.27 5485.03 4.00
32 0K 4.37 5568.00 0.04
40 0K 4.96 5568.00 0.17
48 0K 8.11 5568.00 0.00
48 0K 7.68 5568.00 0.02
56 0K 8.01 5568.00 0.05
64 0K 10.71 5568.00 0.01
160 0K 21.38 5568.00 0.22
40 0K 5.69 6064.00 0.00
72 0K 7.18 5848.00 0.00
48 0K 6.13 5848.00 0.14
64 0K 12.61 5848.00 0.01
64 0K 12.48 5848.00 0.01
48 0K 7.38 5848.00 0.01
