#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 11.46 5424.00 0.02
32 0K 19.28 5424.00 0.00
40 0K 26.77 5424.00 0.01
48 0K 36.85 5424.00 0.39
48 0K 23.99 5424.00 0.03
56 0K 33.05 5424.00 0.02
64 0K 20.03 5424.00 0.00
160 0K 23.33 5424.00 0.24
40 0K 0.52 5424.00 0.00
72 0K 5.90 5428.00 0.06
48 0K 30.48 5428.00 0.24
64 0K 30.43 5428.00 0.01
64 0K 32.26 5428.00 0.08
48 0K 22.87 5428.00 0.08
