#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 0.31 5448.00 0.00
32 0K 0.57 5448.00 0.00
40 0K 0.52 5448.00 0.02
48 0K 0.37 5448.00 0.00
48 0K 0.42 5448.00 0.00
56 0K 0.57 5448.00 0.19
64 0K 0.37 5448.00 0.06
160 0K 0.77 5448.00 0.10
40 0K 0.31 5448.00 0.00
72 0K 0.82 5448.00 0.46
48 0K 0.68 5448.00 0.00
64 0K 0.41 5448.00 0.02
64 0K 0.34 5448.00 0.00
48 0K 0.51 5448.00 0.00
