#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
16 0K 2.34 5536.00 0.00
32 0K 3.59 5536.00 0.04
40 0K 3.23 5536.00 0.01
48 0K 3.24 5536.00 0.00
48 0K 3.04 5536.00 0.00
56 0K 11.22 5592.96 1.12
64 0K 3.54 5604.00 0.23
160 0K 3.62 5604.00 0.06
40 0K 2.37 5604.00 0.00
72 0K 2.65 5612.00 0.00
48 0K 3.59 5612.00 0.01
64 0K 4.28 5612.00 0.01
64 0K 3.31 5612.00 0.01
48 0K 3.27 5612.00 0.01
