#UE ROOT DGW SGW PGW RAN
18 57.59 44.67 184.36 2.02 10.02
48 87.17 96.51 356.31 3.54 27.55
60 86.41 98.7 353.88 3.71 35.45
72 88.49 106.75 374.47 4.04 41.99
84 98.38 8.51 30.97 0.35 4.91
84 139.51 470.8 4.95 54.09 
