#UE ROOT DGW SGW PGW RAN
16 21.02 29.89 106.24 1.85 3.54
32 29.67 45.87 159.29 2.72 8.59
48 43.84 69.64 230.91 4.27 14.29
56 33.7 53.64 171.98 3.13 12.27
52 44.81 67 223.77 4.06 14.89
