#UE ROOT DGW SGW PGW RAN
30 11.6 82.85 196.91 0.34 22.43
36 7.55 77.76 179.75 0.01 30.56
40 10.37 105.36 239.82 0.23 30.74
44 10.87 114.82 244.81 0.01 38.84
36 7.26 88.38 202.07 0.32 28.46
40 9.94 7.68 5.94 0.01 2.51
40 112.19 253.24 0.2 30.86 
