#UE ROOT DGW SGW PGW RAN
22 13.83 14.7 21.42 0.29 2.49
22 10.73 71.32 97.3 1.59 11.89
23 16.25 47.51 67.25 1.16 8.29
23 87.66 120.1 2.1 12 
