#UE ROOT DGW SGW PGW RAN
1 44.24 2.24 1.7 0.51 0.41
1 39.96 2.17 1.66 0.26 1.01
2 45.45 5.06 3.01 0.67 2.35
4 54.5 9.63 4.22 0.51 2.23
6 56.12 12.63 5.06 0.81 2.47
2 49.3 7.72 3.29 0.62 1.26
1 29.7 4 2.12 0.29 0.88
2 58.59 12.06 4.44 0.52 1.49
