#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,16347,16347,60,272.450000,0.003628,Yes,No,No,0.010000,1M
1,14793,14793,60,246.550000,0.003558,Yes,No,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,12315,12315,60,205.250000,0.004857,Yes,Yes,No,0.010000,1M
1,12135,12135,60,202.250000,0.004927,Yes,Yes,No,0.010000,1M
1,13692,13692,60,228.200000,0.004373,Yes,Yes,No,0.010000,1M
1,14582,14582,60,243.033333,0.004101,Yes,Yes,No,0.010000,1M
1,12343,12343,60,205.716667,0.004834,Yes,Yes,No,0.010000,1M
1,14098,14098,60,234.966667,0.004203,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,17,17,60,0.283333,3.455598,Yes,Yes,No,0.010000,1M
1,28,28,60,0.466667,2.142384,Yes,Yes,No,0.010000,1M
1,6994,6994,60,116.566667,0.006574,Yes,Yes,No,0.010000,1M
1,15829,15829,60,263.816667,0.003749,No,No,No,0.010000,1M
1,16847,16847,60,280.783333,0.003508,No,No,No,0.010000,1M
1,16978,16978,60,282.966667,0.003479,No,No,No,0.010000,1M
1,16316,16316,60,271.933333,0.003665,No,No,No,0.010000,1M
1,16121,16121,60,268.683333,0.003707,No,No,No,0.010000,1M
1,15399,15399,60,256.650000,0.003873,No,No,No,0.010000,1M
1,14850,14850,60,247.500000,0.004031,No,No,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,No,No,0.010000,1M
1,18025,18025,60,300.416667,0.003276,No,No,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,Yes,0.010000,1M
1,14394,14394,60,239.900000,0.004141,Yes,Yes,No,0.010000,1M
1,13564,13564,60,226.066667,0.004353,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,14042,14042,60,234.033333,0.004244,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,13469,13469,60,224.483333,0.004382,Yes,Yes,No,0.010000,1M
