#UE ROOT DGW SGW PGW RAN
50 9.9 136.06 199.6 0.86 8.1
60 15.24 116.08 198.98 1.09 0.01
60 9.91 131.93 192.09 0.81 8.38
50 10.68 165.31 241.38 1.02 8.97
40 9.94 140.48 210.43 0.95 8.26
46 8.51 140.46 208.18 0.89 8.32
60 9.86 143.89 208.88 0.99 0
50 9.98 169.73 247.36 1.16 0
50 15.89 140.75 240.13 0.9 7.92
50 10.97 162.96 238.22 1.2 0.09
50 10.43 172.88 235.9 1.18 0.15
50 8.99 152.2 219.39 1.01 4.49
60 9.89 189 252.91 1.11 9.72
