#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
4 0K 0.62 5540.00 0.00
5 0K 0.60 5540.00 0.00
6 0K 0.59 5540.00 0.00
7 0K 0.59 5540.00 0.00
9 0K 0.07 5540.00 0.00
13 0K 0.02 5540.00 0.00
14 0K 0.04 5540.00 0.00
12 0K 0.06 5540.00 0.02
13 0K 0.06 5540.00 0.00
15 0K 0.10 5540.00 0.05
14 0K 0.17 5540.00 0.00
1 0K 0.04 5540.00 0.02
1 0K 0.15 5540.00 0.00
