#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
4 0K 0.04 5716.00 0.01
5 0K 0.28 5716.00 0.01
6 0K 0.04 5716.00 0.01
7 0K 0.25 5716.00 0.01
9 0K 0.04 5716.00 0.01
13 0K 0.08 5716.00 0.01
14 0K 0.05 5716.00 0.01
14 0K 0.04 190.53 0.01
12 0K 0.48 5716.00 0.01
13 0K 0.04 5716.00 0.01
15 0K 0.04 5716.00 0.01
14 0K 0.27 5716.00 0.01
1 0K 0.05 5716.00 0.01
1 0K 0.04 5716.00 0.01
