#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
4 0K 0.22 5540.00 0.00
5 0K 0.25 5540.00 0.00
6 0K 0.20 5540.00 0.00
7 0K 0.67 5540.00 0.00
9 0K 0.32 5540.00 0.02
13 0K 0.49 5540.00 0.03
14 0K 0.34 5540.00 0.00
14 0K 0.05 184.67 0.00
12 0K 0.67 5540.00 0.00
13 0K 0.57 5540.00 0.00
15 0K 0.54 5540.00 0.00
14 0K 0.67 5540.00 0.08
1 0K 1.24 5540.00 0.00
1 0K 1.39 5540.00 0.00
