#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
4 0K 4.63 5916.00 0.00
5 0K 5.03 5916.00 0.00
6 0K 6.30 5916.00 0.00
7 0K 7.65 5916.00 0.00
9 0K 7.36 5916.00 0.00
13 0K 10.74 5916.00 0.00
14 0K 11.84 5916.00 0.00
14 0K 0.01 197.20 0.00
12 0K 10.68 5916.00 0.00
13 0K 10.82 5916.00 0.00
15 0K 11.51 5916.00 0.00
14 0K 12.54 5916.00 0.00
1 0K 2.08 5916.00 0.00
1 0K 2.15 5916.00 0.00
