#UE DataRate Avg%CPU AvgMem(KiB) Avg%Wait
4 0K 0.59 5988.00 0.00
5 0K 0.14 5988.00 0.00
6 0K 0.60 5988.00 0.00
7 0K 1.37 5988.00 0.00
9 0K 1.47 5988.00 0.00
13 0K 0.02 5988.00 0.00
14 0K 0.34 5988.00 0.00
14 0K 0.01 199.60 0.00
12 0K 2.95 5988.00 0.00
13 0K 0.04 5988.00 0.00
15 0K 3.48 5988.00 0.00
14 0K 3.73 5988.00 0.00
1 0K 0.19 5988.00 0.00
1 0K 0.20 5988.00 0.00
