#UE ROOT DGW SGW PGW RAN
30 35.57 25.63 11.6 4.78 17.66
35 57.17 23.05 16.18 9.3 23.82
35 38.03 3.71 2.28 1.26 4.5
35 39.27 5.77 4.24 2.29 8.98
35 54.57 31.51 19.48 5.35 21.77
40 52.56 30.45 9.36 5.48 21.5
35 21.81 13.76 8.87 24.38 
40 27.68 13.12 8.28 29.25 
